"Subplot","Species","Calculation","Value","Date","Filename_2018","final_ID","Sample","girdled","Year"
"D02E","acru","PRI","0.05211893",2018-07-18,"D02E_acru_can02_07182018","2EA1",2,"N",2018
"D02E","acru","NDVI","0.8478109",2018-07-18,"D02E_acru_can03_07182018","2EA1",3,"N",2018
"D02E","acru","NPCI","-0.06680113",2018-07-18,"D02E_acru_can03_07182018","2EA1",3,"N",2018
"D02E","acru","RENDVI","0.4827266",2018-07-18,"D02E_acru_can03_07182018","2EA1",3,"N",2018
"D02E","acru","PRI","0.06298622",2018-07-18,"D02E_acru_can03_07182018","2EA1",3,"N",2018
"D02E","acru","NDVI","0.8489966",2018-07-18,"D02E_acru_can04_07182018","2EA1",4,"N",2018
"D02E","acru","NPCI","-0.07782976",2018-07-18,"D02E_acru_can04_07182018","2EA1",4,"N",2018
"D02E","acru","RENDVI","0.5258179",2018-07-18,"D02E_acru_can04_07182018","2EA1",4,"N",2018
"D02E","acru","PRI","0.0562049",2018-07-18,"D02E_acru_can04_07182018","2EA1",4,"N",2018
"D02E","acru","NDVI","0.8563628",2018-07-18,"D02E_acru_can05_07182018","2EA1",5,"N",2018
"D02E","acru","NPCI","-0.0903335",2018-07-18,"D02E_acru_can05_07182018","2EA1",5,"N",2018
"D02E","acru","RENDVI","0.5502046",2018-07-18,"D02E_acru_can05_07182018","2EA1",5,"N",2018
"D02E","acru","PRI","0.06109952",2018-07-18,"D02E_acru_can05_07182018","2EA1",5,"N",2018
"D02E","acru","NDVI","0.8491358",2018-07-19,"D02E_acru_can06_07192018","2EA2",1,"N",2018
"D02E","acru","NPCI","-0.1432967",2018-07-19,"D02E_acru_can06_07192018","2EA2",1,"N",2018
"D02E","acru","RENDVI","0.3706938",2018-07-19,"D02E_acru_can06_07192018","2EA2",1,"N",2018
"D02E","acru","PRI","0.0206059",2018-07-19,"D02E_acru_can06_07192018","2EA2",1,"N",2018
"D02E","acru","NDVI","0.8599477",2018-07-19,"D02E_acru_can07_07192018","2EA2",2,"N",2018
"D02E","acru","NPCI","-0.174767",2018-07-19,"D02E_acru_can07_07192018","2EA2",2,"N",2018
"D02E","acru","RENDVI","0.4829793",2018-07-19,"D02E_acru_can07_07192018","2EA2",2,"N",2018
"D02E","acru","PRI","0.03975177",2018-07-19,"D02E_acru_can07_07192018","2EA2",2,"N",2018
"D02E","acru","NDVI","0.8491425",2018-07-19,"D02E_acru_can08_07192018","2EA2",3,"N",2018
"D02E","acru","NPCI","-0.1646584",2018-07-19,"D02E_acru_can08_07192018","2EA2",3,"N",2018
"D02E","acru","RENDVI","0.4706392",2018-07-19,"D02E_acru_can08_07192018","2EA2",3,"N",2018
"D02E","acru","PRI","0.04585279",2018-07-19,"D02E_acru_can08_07192018","2EA2",3,"N",2018
