"Filename","Species","Subplot","final_ID","Sample","Year","disturbance_severity","treatment","crown_mean_Asat","crown_mean_Cond"
"1WP2_01_20210802","pogr","D01W","1WP2",1,2021,"0","T",13.5816616323168,0.279615095608505
"1WP3_01_20210802","pogr","D01W","1WP3",1,2021,"0","T",13.5816616323168,0.279615095608505
"1WQ1_01_20210804","quru","D01W","1WQ1",1,2021,"0","T",13.5816616323168,0.279615095608505
"1WQ2_01_20210804","quru","D01W","1WQ2",1,2021,"0","T",13.5816616323168,0.279615095608505
"1WQ3_01_20210804","quru","D01W","1WQ3",1,2021,"0","T",13.5816616323168,0.279615095608505
"2EA1_01_20210728","acru","D02E","2EA1",1,2021,"85","B",13.5816616323168,0.279615095608505
"2EA2_01_20210728","acru","D02E","2EA2",1,2021,"85","B",13.5816616323168,0.279615095608505
"2EA3_01_20210728","acru","D02E","2EA3",1,2021,"85","B",13.5816616323168,0.279615095608505
"2EP1_02_20210728","pogr","D02E","2EP1",2,2021,"85","B",13.5816616323168,0.279615095608505
"2EP2_01_20210728","pogr","D02E","2EP2",1,2021,"85","B",13.5816616323168,0.279615095608505
"2EP3_01_20210728","pogr","D02E","2EP3",1,2021,"85","B",13.5816616323168,0.279615095608505
"2EQ1_01_20210728","quru","D02E","2EQ1",1,2021,"85","B",13.5816616323168,0.279615095608505
"2EQ2_01_20210728","quru","D02E","2EQ2",1,2021,"85","B",13.5816616323168,0.279615095608505
"2EQ3_01_20210728","quru","D02E","2EQ3",1,2021,"85","B",13.5816616323168,0.279615095608505
"2WA1_01_20210729","acru","D02W","2WA1",1,2021,"85","T",13.5816616323168,0.279615095608505
"2WA2_01_20210728","acru","D02W","2WA2",1,2021,"85","T",13.5816616323168,0.279615095608505
"2WA3_01_20210728","acru","D02W","2WA3",1,2021,"85","T",13.5816616323168,0.279615095608505
"2WP1_01_20210728","pogr","D02W","2WP1",1,2021,"85","T",13.5816616323168,0.279615095608505
"2WP2_01_20210729","pogr","D02W","2WP2",1,2021,"85","T",13.5816616323168,0.279615095608505
"2WQ1_01_20210729","quru","D02W","2WQ1",1,2021,"85","T",13.5816616323168,0.279615095608505
"2WQ2_01_20210728","quru","D02W","2WQ2",1,2021,"85","T",13.5816616323168,0.279615095608505
"2WQ3_01_20210729","quru","D02W","2WQ3",1,2021,"85","T",13.5816616323168,0.279615095608505
"3EA1_01_20210805","acru","D03E","3EA1",1,2021,"45","B",13.5816616323168,0.279615095608505
"3EA2_01_20210805","acru","D03E","3EA2",1,2021,"45","B",13.5816616323168,0.279615095608505
